amfi_code,hhi_score,scheme_name
119092,2064.88965728256,Axis Bluechip Fund - Regular - Growth
101207,2007.4057610781576,ABSL Small Cap Fund - Regular - Growth
119599,1747.5095999999999,SBI Small Cap Fund - Direct Plan - Growth
102885,1747.0902,UTI Nifty 50 Index Fund - Regular - Growth
118632,1682.3090091039978,Nippon India Large Cap Fund - Regular - Growth
148568,1679.6332098456373,Mirae Asset Emerging Bluechip Fund - Regular - Growth
120505,1575.0735075940215,ICICI Pru Midcap Fund - Regular - Growth
120506,1537.3210101031184,ICICI Pru Value Discovery Fund - Regular - Growth
125498,1524.1398,HDFC Mid-Cap Opportunities Fund - Direct - Growth
120841,1496.5041841981188,Kotak Bluechip Fund - Regular - Growth
148569,1494.5619650035226,Mirae Asset Tax Saver Fund - Regular - Growth
100033,1475.9226,HDFC Mid-Cap Opportunities Fund - Regular - Growth
149323,1416.2096,DSP Midcap Fund - Regular - Growth
120503,1408.7026,ICICI Pru Bluechip Fund - Regular - Growth
100016,1395.3386,HDFC Top 100 Fund - Regular Plan - Growth
148567,1386.1189099207947,Mirae Asset Large Cap Fund - Regular - Growth
125497,1365.8554,HDFC Top 100 Fund - Direct Plan - Growth
119094,1363.7863290963173,Axis Midcap Fund - Regular - Growth
118635,1359.7134290886836,Nippon India ETF Nifty 50 BeES
149322,1344.2485362647678,DSP Top 100 Equity Fund - Regular - Growth
119093,1308.9424000000001,Axis Bluechip Fund - Direct - Growth
102887,1297.7899290362936,UTI Flexi Cap Fund - Regular - Growth
101206,1293.0586753343466,ABSL Frontline Equity Fund - Regular - Growth
120843,1286.8306,Kotak Flexicap Fund - Regular - Growth
120842,1274.6430158567414,Kotak Emerging Equity Fund - Regular - Growth
118633,1214.6086,Nippon India Large Cap Fund - Direct - Growth
119551,1187.1552,SBI Bluechip Fund - Regular Plan - Growth
149324,1186.7709999999997,DSP Small Cap Fund - Regular - Growth
102886,1147.3873090281188,UTI Mid Cap Fund - Regular - Growth
119095,1096.2727435859897,Axis Small Cap Fund - Regular - Growth
120504,1086.5241842978985,ICICI Pru Bluechip Fund - Direct - Growth
118634,1083.5772,Nippon India Small Cap Fund - Regular - Growth
119552,1079.8909110188874,SBI Bluechip Fund - Direct Plan - Growth
119598,1073.7042301089793,SBI Small Cap Fund - Regular Plan - Growth
