amfi_code,scheme_name,sharpe_ratio
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.0682238272314732
120843,Kotak Flexicap Fund - Regular - Growth,0.965560651744012
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.9190465356358282
120505,ICICI Pru Midcap Fund - Regular - Growth,0.8832556184698839
119551,SBI Bluechip Fund - Regular Plan - Growth,0.8609773262277756
149323,DSP Midcap Fund - Regular - Growth,0.8328852279505965
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.8082678003905593
118632,Nippon India Large Cap Fund - Regular - Growth,0.7588510310771438
119094,Axis Midcap Fund - Regular - Growth,0.7305467735561727
101206,ABSL Frontline Equity Fund - Regular - Growth,0.717408995989017
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.7146822636441237
149324,DSP Small Cap Fund - Regular - Growth,0.7144216579881013
119598,SBI Small Cap Fund - Regular Plan - Growth,0.7116901743847246
119552,SBI Bluechip Fund - Direct Plan - Growth,0.6482414723266906
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.6406730942266642
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.5197971450361778
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.5165503915082101
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.5062729716095955
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.40461547832920475
118635,Nippon India ETF Nifty 50 BeES,0.39318819691240553
118633,Nippon India Large Cap Fund - Direct - Growth,0.3888288460001742
102887,UTI Flexi Cap Fund - Regular - Growth,0.3846373345033844
118634,Nippon India Small Cap Fund - Regular - Growth,0.29234325101099307
120841,Kotak Bluechip Fund - Regular - Growth,0.25511741256223125
149322,DSP Top 100 Equity Fund - Regular - Growth,0.2396633677728517
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.13479784106103954
101207,ABSL Small Cap Fund - Regular - Growth,0.052618136475855025
119093,Axis Bluechip Fund - Direct - Growth,-0.04707325681075911
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.058166811414922526
119092,Axis Bluechip Fund - Regular - Growth,-0.13100916883965188
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.13617811182970377
119095,Axis Small Cap Fund - Regular - Growth,-0.15165815861644155
102886,UTI Mid Cap Fund - Regular - Growth,-0.2948889128510891
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.3210192604995431
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.7430986305648412
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.8505789759662294
100025,HDFC Short Term Debt Fund - Regular - Growth,-1.0399413574427758
120507,ICICI Pru Liquid Fund - Regular - Growth,-3.6501838785684795
120844,Kotak Liquid Fund - Regular - Growth,-4.000348969233409
101208,ABSL Liquid Fund - Regular - Growth,-4.650400707150914
