amfi_code,scheme_name,sortino_ratio
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.490738952294708
120843,Kotak Flexicap Fund - Regular - Growth,1.4795034584167766
148569,Mirae Asset Tax Saver Fund - Regular - Growth,1.3528150221233652
119551,SBI Bluechip Fund - Regular Plan - Growth,1.2914833497690066
120505,ICICI Pru Midcap Fund - Regular - Growth,1.2858427838168305
149323,DSP Midcap Fund - Regular - Growth,1.167793379907482
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.1442164603950202
118632,Nippon India Large Cap Fund - Regular - Growth,1.0988795112458636
119598,SBI Small Cap Fund - Regular Plan - Growth,1.0672557743438265
120504,ICICI Pru Bluechip Fund - Direct - Growth,1.0639638792991957
101206,ABSL Frontline Equity Fund - Regular - Growth,1.0639085968011799
119094,Axis Midcap Fund - Regular - Growth,1.0552844773147763
149324,DSP Small Cap Fund - Regular - Growth,1.0309617308730288
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.955767194381326
119552,SBI Bluechip Fund - Direct Plan - Growth,0.9265632920561693
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.7729719235511073
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.734797599748163
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.7329158023031636
118633,Nippon India Large Cap Fund - Direct - Growth,0.5886328565297931
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.5781364061026485
102887,UTI Flexi Cap Fund - Regular - Growth,0.571857543023029
118635,Nippon India ETF Nifty 50 BeES,0.5694261625753934
118634,Nippon India Small Cap Fund - Regular - Growth,0.41130360047665027
120841,Kotak Bluechip Fund - Regular - Growth,0.3766193408262903
149322,DSP Top 100 Equity Fund - Regular - Growth,0.33295209417121097
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.19294712720125923
101207,ABSL Small Cap Fund - Regular - Growth,0.07566830445152811
119093,Axis Bluechip Fund - Direct - Growth,-0.06789981210009612
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.08069596764131792
119092,Axis Bluechip Fund - Regular - Growth,-0.18918833169513888
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.19003542050379565
119095,Axis Small Cap Fund - Regular - Growth,-0.21634600934828307
102886,UTI Mid Cap Fund - Regular - Growth,-0.4205889785291457
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.4728224084369747
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-1.045909778283203
118636,Nippon India Gilt Securities Fund - Regular - Growth,-1.2383022198784408
100025,HDFC Short Term Debt Fund - Regular - Growth,-1.4612200367895027
120507,ICICI Pru Liquid Fund - Regular - Growth,-7.208233748898268
120844,Kotak Liquid Fund - Regular - Growth,-7.768003070332341
101208,ABSL Liquid Fund - Regular - Growth,-8.741654278994412
